timestep,agent_name,actor_type,actor_id,consumer_id,event_type,event_detail,funnel_stage_before,funnel_stage_after,selected_bank,selected_bank_name,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
6,customer_agent,consumer,C003,C003,funnel_transition,,prospect,information_gathering,,,private,,4,4,C003-funnel-update-1,,5,6,,,,
6,customer_agent,consumer,C004,C004,funnel_transition,,prospect,information_gathering,,,private,,5,5,C004-funnel-update-1,,5,6,,,,
6,customer_agent,consumer,C005,C005,funnel_transition,,prospect,information_gathering,,,private,,6,6,C005-funnel-update-1,,5,6,,,,
6,customer_agent,consumer,C006,C006,funnel_transition,,prospect,information_gathering,,,private,,7,7,C006-funnel-update-1,,5,6,,,,
6,customer_agent,consumer,C007,C007,funnel_transition,,prospect,information_gathering,,,private,,8,8,C007-funnel-update-1,,5,6,,,,
6,customer_agent,consumer,C008,C008,funnel_transition,,prospect,information_gathering,,,private,,9,9,C008-funnel-update-1,,5,6,,,,
6,customer_agent,consumer,C009,C009,funnel_transition,,prospect,information_gathering,,,private,,10,10,C009-funnel-update-1,,5,6,,,,
6,customer_agent,consumer,C010,C010,funnel_transition,,prospect,information_gathering,,,private,,11,11,C010-funnel-update-1,,5,6,,,,
7,customer_agent,consumer,C018,C018,change_funnel_stage,,consideration,selected,,,private,,1,1,funnel_events-7-C018-177,,6,7,,,,
8,customer_agent,consumer,C012,C012,funnel_transition,,selected,selected,,,private,,1,1,C012-funnel-event-8-1,,7,8,,,,
8,customer_agent,consumer,C013,C013,funnel_transition,,selected,selected,,,private,,2,2,C013-funnel-event-8-1,,7,8,,,,
8,customer_agent,consumer,C014,C014,funnel_transition,,selected,selected,,,private,,3,3,C014-funnel-event-8-1,,7,8,,,,
8,customer_agent,consumer,C015,C015,funnel_transition,,selected,selected,,,private,,4,4,C015-funnel-event-8-1,,7,8,,,,
8,customer_agent,consumer,C016,C016,funnel_transition,,selected,selected,,,private,,5,5,C016-funnel-event-8-1,,7,8,,,,
8,customer_agent,consumer,C017,C017,funnel_transition,,selected,selected,,,private,,6,6,C017-funnel-event-8-1,,7,8,,,,
8,customer_agent,consumer,C018,C018,funnel_transition,,selected,selected,,,private,,7,7,C018-funnel-event-8-1,,7,8,,,,
8,customer_agent,consumer,C001,C001,funnel_transition,,information_gathering,selected,,,private,,8,8,C001-8-1,,7,8,,,,
8,customer_agent,consumer,C002,C002,funnel_transition,,information_gathering,selected,,,private,,9,9,C002-8-1,,7,8,,,,
8,customer_agent,consumer,C003,C003,funnel_transition,,information_gathering,selected,,,private,,10,10,C003-8-1,,7,8,,,,
8,customer_agent,consumer,C004,C004,funnel_transition,,information_gathering,selected,,,private,,11,11,C004-8-1,,7,8,,,,
8,customer_agent,consumer,C005,C005,funnel_transition,,information_gathering,selected,,,private,,12,12,C005-8-1,,7,8,,,,
8,customer_agent,consumer,C006,C006,funnel_transition,,information_gathering,selected,,,private,,13,13,C006-8-1,,7,8,,,,
8,customer_agent,consumer,C008,C008,funnel_transition,,information_gathering,selected,,,private,,14,14,C008-8-1,,7,8,,,,
8,customer_agent,consumer,C009,C009,funnel_transition,,information_gathering,selected,,,private,,15,15,C009-8-1,,7,8,,,,
8,customer_agent,consumer,C010,C010,funnel_transition,,information_gathering,selected,,,private,,16,16,C010-8-1,,7,8,,,,
9,customer_agent,consumer,C012,C012,funnel_transition,,selected,application_started,,,private,,1,1,funnel_events-9-C012-81960,,8,9,,,,
9,customer_agent,consumer,C013,C013,funnel_transition,,selected,application_started,,,private,,2,2,funnel_events-9-C013-94556,,8,9,,,,
9,customer_agent,consumer,C014,C014,funnel_transition,,selected,application_started,,,private,,3,3,funnel_events-9-C014-89437,,8,9,,,,
9,customer_agent,consumer,C015,C015,funnel_transition,,selected,application_started,,,private,,4,4,funnel_events-9-C015-56588,,8,9,,,,
9,customer_agent,consumer,C016,C016,funnel_transition,,selected,application_started,,,private,,5,5,funnel_events-9-C016-70214,,8,9,,,,
9,customer_agent,consumer,C017,C017,funnel_transition,,selected,application_started,,,private,,6,6,funnel_events-9-C017-67471,,8,9,,,,
9,customer_agent,consumer,C018,C018,funnel_transition,,selected,application_started,,,private,,7,7,funnel_events-9-C018-76065,,8,9,,,,
